State;Cases;Changes;Cases_per_100K;Fatal;Comment
Baden-Württem­berg;40358;185;1450;13.1;1863
Bayern;55414;353;1835;14.0;2634
Berlin;10786;58;416;11.1;226
Branden­burg;3795;8;70;2.8;169
Bremen;1913;8;62;9.1;56
Hamburg;6083;29;151;8.2;265
Hessen;14809;152;1073;17.1;528
Meck­lenburg-Vor­pommern;997;3;21;1.3;20
Nieder­sachsen;16191;95;586;7.3;661
Nord­rhein-West­falen;57213;297;2018;11.3;1802
Rhein­land-Pfalz;8713;46;409;10.0;243
Saarland;3080;4;69;7.0;174
Sachsen;5827;3;74;1.8;225
Sachsen-Anhalt;2183;3;53;2.4;65
Schles­wig-Holstein;3927;23;114;3.9;160
Thüringen;3564;11;57;2.7;186
Gesamt;234853;1278;8458;10.2;9277
